"MATRICOLA","CODICE","ESAME","DATA","VOTO","TIPO"
1923241,"0100140","MECCANICA RAZIONALE","01/06/1999",27,"Superato"
1923241,"0100171","STATISTICA MATEMATICA","12/06/1998",27,"Superato"
1923241,"0100175","TEORIA E APPLICAZ.MACCHINE CALCOLATRICI","17/06/1996",26,"Superato"
1923241,"0100242","ANALISI NUMERICA","25/06/1997",26,"Superato"
1923241,"0100409","LINGUAGGI PROGRAMMATIVI","30/04/1998",30,"Superato"
1991511,"0100001","ALGEBRA","04/10/1995",24,"Superato"
1991511,"0100004","ANALISI MATEMATICA I","28/10/1994",28,"Superato"
1991511,"0100006","ANALISI MATEMATICA II","31/01/1997",25,"Superato"
1991511,"0100020","CALCOLO DELLE PROBABILITA'","05/02/1999",30,"Superato"
1991511,"0100084","FISICA GENERALE I","26/04/1995",28,"Superato"
1991511,"0100085","FISICA GENERALE II","03/06/1997",28,"Superato"
1991511,"0100114","GEOMETRIA I","07/02/1995",25,"Superato"
1991511,"0100115","GEOMETRIA II","30/09/1996",30,"Superato"
1991511,"0100125","ISTITUZIONI DI GEOMETRIA SUPERIORE","03/02/1998",31,"Superato"
1991511,"0100135","LOGICA MATEMATICA","08/09/1997",27,"Superato"
1991511,"0100137","MATEMATICHE ELEMENT.DAL PUNTO D.V.S.","08/06/1998",30,"Superato"
1991511,"0100140","MECCANICA RAZIONALE","05/06/1996",25,"Superato"
1991511,"0100176","TEORIA DELLE FUNZIONI","08/07/1999",22,"Superato"
1991511,"0100214","STORIA DELLE MATEMATICHE","21/07/1998",28,"Superato"
1991511,"0520110","MATEMATICA PER LE APPL.ECONOMICHE E FINANZIARIE","16/09/1999",27,"Superato"
2000818,"0100001","ALGEBRA","19/07/1995",21,"Superato"
2000818,"0100004","ANALISI MATEMATICA I","28/10/1994",22,"Superato"
2000818,"0100006","ANALISI MATEMATICA II","08/10/1996",25,"Superato"
2000818,"0100011","APPLICAZIONI DI MATEMATICHE SUPERIORI","18/02/1998",28,"Superato"
2000818,"0100021","CALCOLI NUMERICI E GRAFICI","13/07/1999",26,"Superato"
2000818,"0100084","FISICA GENERALE I","29/11/1995",22,"Superato"
2000818,"0100085","FISICA GENERALE II","09/06/1998",27,"Superato"
2000818,"0100114","GEOMETRIA I","05/06/1995",24,"Superato"
2000818,"0100115","GEOMETRIA II","29/01/1997",26,"Superato"
2000818,"0100121","ISTITUZIONI DI ANALISI SUPERIORE","02/10/1997",27,"Superato"
2000818,"0100122","ISTITUZIONI DI FISICA MATEMATICA","01/10/1998",24,"Superato"
2000818,"0100135","LOGICA MATEMATICA","03/06/1997",30,"Superato"
2000818,"0100140","MECCANICA RAZIONALE","08/07/1997",22,"Superato"
2000818,"0100171","STATISTICA MATEMATICA","05/11/1998",31,"Superato"
2000818,"0100175","TEORIA E APPLICAZ.MACCHINE CALCOLATRICI","17/12/1999",30,"Superato"
2009492,"0100001","ALGEBRA","20/06/1996",24,"Superato"
2009492,"0100002","ALGEBRA SUPERIORE","09/06/1999",30,"Superato"
2009492,"0100004","ANALISI MATEMATICA I","07/02/1994",27,"Convalidato"
2009492,"0100006","ANALISI MATEMATICA II","28/02/1995",25,"Convalidato"
2009492,"0100084","FISICA GENERALE I","21/02/1996",30,"Superato"
2009492,"0100085","FISICA GENERALE II","02/10/1996",31,"Superato"
2009492,"0100114","GEOMETRIA I","21/02/1994",26,"Convalidato"
2009492,"0100115","GEOMETRIA II","05/06/1997",30,"Superato"
2009492,"0100121","ISTITUZIONI DI ANALISI SUPERIORE","29/07/1997",27,"Superato"
2009492,"0100122","ISTITUZIONI DI FISICA MATEMATICA","10/02/1999",24,"Superato"
2009492,"0100125","ISTITUZIONI DI GEOMETRIA SUPERIORE","30/10/1997",30,"Superato"
2009492,"0100136","MATEMATICHE COMPLEMENTARI","15/06/1998",30,"Superato"
2009492,"0100138","MATEMATICHE SUPERIORI","26/10/1998",30,"Superato"
2009492,"0100140","MECCANICA RAZIONALE","04/06/1996",30,"Superato"
2009492,"0100179","TOPOLOGIA","15/07/1998",27,"Superato"
2035562,"0100001","ALGEBRA","04/10/1995",22,"Superato"
2035562,"0100004","ANALISI MATEMATICA I","28/10/1994",25,"Superato"
2035562,"0100006","ANALISI MATEMATICA II","13/06/1996",24,"Superato"
2035562,"0100011","APPLICAZIONI DI MATEMATICHE SUPERIORI","09/04/1999",26,"Superato"
2035562,"0100021","CALCOLI NUMERICI E GRAFICI","28/04/1998",28,"Superato"
2035562,"0100084","FISICA GENERALE I","22/02/1995",23,"Superato"
2035562,"0100085","FISICA GENERALE II","21/02/1997",31,"Superato"
2035562,"0100114","GEOMETRIA I","14/06/1995",26,"Superato"
2035562,"0100115","GEOMETRIA II","29/10/1996",28,"Superato"
2035562,"0100121","ISTITUZIONI DI ANALISI SUPERIORE","29/07/1997",24,"Superato"
2035562,"0100122","ISTITUZIONI DI FISICA MATEMATICA","01/10/1998",29,"Superato"
2035562,"0100135","LOGICA MATEMATICA","09/09/1997",30,"Superato"
2035562,"0100140","MECCANICA RAZIONALE","23/06/1997",26,"Superato"
2035562,"0100171","STATISTICA MATEMATICA","02/12/1998",31,"Superato"
2035562,"0100175","TEORIA E APPLICAZ.MACCHINE CALCOLATRICI","14/12/1999",27,"Superato"
2055863,"0100001","ALGEBRA","07/02/1995",23,"Superato"
2055863,"0100002","ALGEBRA SUPERIORE","23/06/1999",28,"Superato"
2055863,"0100004","ANALISI MATEMATICA I","01/07/1994",19,"Superato"
2055863,"0100006","ANALISI MATEMATICA II","08/11/1996",27,"Superato"
2055863,"0100084","FISICA GENERALE I","29/11/1995",30,"Superato"
2055863,"0100085","FISICA GENERALE II","21/02/1997",30,"Superato"
2055863,"0100114","GEOMETRIA I","14/06/1995",28,"Superato"
2055863,"0100115","GEOMETRIA II","10/06/1996",28,"Superato"
2055863,"0100121","ISTITUZIONI DI ANALISI SUPERIORE","29/07/1997",27,"Superato"
2055863,"0100122","ISTITUZIONI DI FISICA MATEMATICA","07/09/1999",30,"Superato"
2055863,"0100125","ISTITUZIONI DI GEOMETRIA SUPERIORE","20/02/1998",28,"Superato"
2055863,"0100135","LOGICA MATEMATICA","08/09/1997",28,"Superato"
2055863,"0100136","MATEMATICHE COMPLEMENTARI","15/06/1998",30,"Superato"
2055863,"0100140","MECCANICA RAZIONALE","23/06/1997",30,"Superato"
2055863,"0100179","TOPOLOGIA","05/10/1998",31,"Superato"
2097213,"0100001","ALGEBRA","03/07/1992",20,"Convalidato"
2097213,"0100004","ANALISI MATEMATICA I","15/02/1993",22,"Convalidato"
2097213,"0100006","ANALISI MATEMATICA II","20/06/1994",21,"Superato"
2097213,"0100011","APPLICAZIONI DI MATEMATICHE SUPERIORI","05/03/1998",24,"Superato"
2097213,"0100021","CALCOLI NUMERICI E GRAFICI","13/06/1996",26,"Superato"
2097213,"0100084","FISICA GENERALE I","08/03/1995",27,"Superato"
2097213,"0100085","FISICA GENERALE II","13/10/1998",28,"Superato"
2097213,"0100114","GEOMETRIA I","14/02/1994",30,"Superato"
2097213,"0100115","GEOMETRIA II","09/11/1994",24,"Superato"
2097213,"0100135","LOGICA MATEMATICA","07/06/1995",30,"Superato"
2097213,"0100140","MECCANICA RAZIONALE","01/06/1999",25,"Superato"
2097213,"0100171","STATISTICA MATEMATICA","16/10/1997",30,"Superato"
2097213,"0100175","TEORIA E APPLICAZ.MACCHINE CALCOLATRICI","28/10/1996",30,"Superato"
2097213,"0100242","ANALISI NUMERICA","09/06/1997",24,"Superato"
2097213,"0100409","LINGUAGGI PROGRAMMATIVI","10/07/1998",30,"Superato"
2122375,"0100001","ALGEBRA","23/06/1995",29,"Superato"
2122375,"0100004","ANALISI MATEMATICA I","06/06/1995",27,"Superato"
2122375,"0100006","ANALISI MATEMATICA II","11/06/1996",26,"Superato"
