sesso,prov,comune,istituto,tipo,annomat,votomat,score,idtest
M,51,34,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,75,13.5,28
M,51,34,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,79,13.75,28
M,47,4,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,70,11.5,28
F,48,41,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,10,28
M,53,4,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,81,17.25,28
M,47,3,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,84,10.25,28
M,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2011,73,16,28
M,48,38,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,77,8,28
F,47,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,94,9,28
M,48,12,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,74,17,28
M,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,76,16.5,28
M,47,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,80,7.5,28
M,47,11,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,80,16,28
M,47,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,85,16.25,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,70,12.75,28
F,48,43,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,74,13.25,28
F,48,16,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2011,69,13,28
F,88,9,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,67,10.25,28
F,48,37,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,90,10.5,28
F,48,28,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,80,15.25,28
M,51,20,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,95,14.5,28
M,53,11,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,71,6,28
F,48,35,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,13.25,28
